name,experince,team_name,birth_day,player_id,2024-25,2025-26
Jaylen Brown,9 years,Boston Celtics,1996-10-24,brownja02,,"$53,142,264"
Torrey Craig,8 years,,1990-12-19,craigto01,,
JD Davison,3 years,Houston Rockets,2002-10-03,davisjd01,,"$2,270,735"
Sam Hauser,4 years,Boston Celtics,1997-12-08,hausesa01,,"$10,044,644"
Jrue Holiday,16 years,Portland Trail Blazers,1990-06-12,holidjr01,,"$32,400,000"
Al Horford,18 years,,1986-06-03,horfoal01,,
Luke Kornet,8 years,San Antonio Spurs,1995-07-15,kornelu01,,"$11,000,000"
Miles Norris,1 year,Boston Celtics,2000-04-15,norrimi01,,
Drew Peterson,2 years,Charlotte Hornets,1999-11-09,peterdr01,,
Kristaps Porziņģis,9 years,Atlanta Hawks,1995-08-02,porzikr01,,"$30,731,707"
Payton Pritchard,5 years,Boston Celtics,1998-01-28,pritcpa01,,"$7,232,143"
Neemias Queta,4 years,Boston Celtics,1999-07-13,quetane01,,"$2,349,578"
Baylor Scheierman,1 year,Boston Celtics,2000-09-26,scheiba01,,"$2,619,000"
Jaden Springer,4 years,New Orleans Pelicans,2002-09-25,sprinja01,,
Jayson Tatum,8 years,Boston Celtics,1998-03-03,tatumja01,,"$54,126,450"
Xavier Tillman Sr.,5 years,Boston Celtics,1999-01-12,tillmxa01,,"$2,546,675"
Jordan Walsh,2 years,Boston Celtics,2004-03-03,walshjo01,,"$2,221,677"
Derrick White,8 years,Boston Celtics,1994-07-02,whitede01,,"$28,100,000"
Reece Beekman,1 year,,2001-10-08,beekmre01,,
Nic Claxton,6 years,Brooklyn Nets,1999-04-17,claxtni01,,"$25,352,272"
Noah Clowney,2 years,Brooklyn Nets,2004-07-14,clownno01,,"$3,398,640"
Cui Yongxi,1 year,,2003-05-28,cuiyo01,,
Tyson Etienne,1 year,Brooklyn Nets,1999-09-17,etienty01,,
Tosan Evbuomwan,2 years,Brooklyn Nets,2001-02-16,evbuoto01,,
Dorian Finney-Smith,9 years,Houston Rockets,1993-05-04,finnedo01,,
Killian Hayes,5 years,,2001-07-27,hayeski01,,
Cameron Johnson,6 years,Denver Nuggets,1996-03-03,johnsca02,,"$20,543,478"
Keon Johnson,4 years,Brooklyn Nets,2002-03-10,johnske07,,"$2,349,578"
Maxwell Lewis,2 years,,2002-07-27,lewisma05,,
Jaylen Martin,1 year,Washington Wizards,2004-01-28,martija02,,
Tyrese Martin,2 years,Brooklyn Nets,1999-03-07,martity01,,"$2,191,897"
Dariq Whitehead,2 years,Brooklyn Nets,2004-08-01,whiteda01,,"$3,262,560"
Shake Milton,7 years,,1996-09-26,miltosh01,,"$3,000,000"
D'Angelo Russell,10 years,Dallas Mavericks,1996-02-23,russeda01,,
Dennis Schröder,12 years,Sacramento Kings,1993-09-15,schrode01,,
Day'Ron Sharpe,4 years,,2001-11-06,sharpda01,,
Ben Simmons,7 years,,1996-07-20,simmobe01,,
Cam Thomas,4 years,,2001-10-13,thomaca02,,
Drew Timme,1 year,Brooklyn Nets,2000-09-09,timmedr01,,"$1,955,377"
Trendon Watford,4 years,Philadelphia 76ers,2000-11-09,watfotr01,,
Ziaire Williams,4 years,,2001-09-12,willizi02,,
Jalen Wilson,2 years,Brooklyn Nets,2000-11-04,wilsoja03,,"$2,221,677"
Ochai Agbaji,3 years,Toronto Raptors,2000-04-20,agbajoc01,,"$6,383,525"
Scottie Barnes,4 years,Toronto Raptors,2001-08-01,barnesc01,,"$38,661,750"
RJ Barrett,6 years,Toronto Raptors,2000-06-14,barrerj01,,"$27,705,357"
Jamison Battle,1 year,Toronto Raptors,2001-05-10,battlja01,,"$1,955,377"
Chris Boucher,8 years,,1993-01-11,bouchch01,,
Bruce Brown,7 years,Denver Nuggets,1996-08-15,brownbr01,,
D.J. Carton,2 years,,2000-08-05,cartodj01,,
Colin Castleton,2 years,,2000-05-25,castlco01,,
Ulrich Chomche,1 year,Toronto Raptors,2005-12-30,chomcul01,,
Gradey Dick,2 years,Toronto Raptors,2003-11-20,dickgr01,,"$4,990,560"
Bruno Fernando,6 years,,1998-08-15,fernabr01,,
A.J. Lawson,3 years,Toronto Raptors,2000-07-15,lawsoaj01,,"$2,270,735"
Davion Mitchell,4 years,Miami Heat,1998-09-05,mitchda01,,
Jonathan Mogbo,1 year,Toronto Raptors,2001-10-29,mogbojo01,,"$1,955,377"
Kelly Olynyk,12 years,San Antonio Spurs,1991-04-19,olynyke01,,"$13,445,122"
Jakob Poeltl,9 years,Toronto Raptors,1995-10-15,poeltja01,,"$19,500,000"
Immanuel Quickley,5 years,Toronto Raptors,1999-06-17,quickim01,,"$32,500,000"
Jared Rhoden,3 years,,1999-08-27,rhodeja01,,
