name,experince,team_name,birth_day,player_id,season,team_name,lg_id,salary
Jaylen Brown,9 years,Boston Celtics,1996-10-24,brownja02,2016-17,Boston Celtics,NBA,"$4,743,000"
Jaylen Brown,9 years,Boston Celtics,1996-10-24,brownja02,2017-18,Boston Celtics,NBA,"$4,956,480"
Jaylen Brown,9 years,Boston Celtics,1996-10-24,brownja02,2018-19,Boston Celtics,NBA,"$5,169,960"
Jaylen Brown,9 years,Boston Celtics,1996-10-24,brownja02,2019-20,Boston Celtics,NBA,"$6,534,829"
Jaylen Brown,9 years,Boston Celtics,1996-10-24,brownja02,2020-21,Boston Celtics,NBA,"$23,437,500"
Jaylen Brown,9 years,Boston Celtics,1996-10-24,brownja02,2021-22,Boston Celtics,NBA,"$24,830,357"
Jaylen Brown,9 years,Boston Celtics,1996-10-24,brownja02,2022-23,Boston Celtics,NBA,"$28,741,071"
Jaylen Brown,9 years,Boston Celtics,1996-10-24,brownja02,2023-24,Boston Celtics,NBA,"$31,830,357"
Jaylen Brown,9 years,Boston Celtics,1996-10-24,brownja02,2024-25,Boston Celtics,NBA,"$49,205,800"
Jaylen Brown,9 years,(may be incomplete),1996-10-24,brownja02,Career,(may be incomplete),,"$179,449,354"
Torrey Craig,8 years,Denver Nuggets,1990-12-19,craigto01,2017-18,Denver Nuggets,NBA,< $Minimum
Torrey Craig,8 years,Denver Nuggets,1990-12-19,craigto01,2018-19,Denver Nuggets,NBA,"$2,000,000"
Torrey Craig,8 years,Denver Nuggets,1990-12-19,craigto01,2019-20,Denver Nuggets,NBA,"$2,000,000"
Torrey Craig,8 years,Phoenix Suns,1990-12-19,craigto01,2020-21,Phoenix Suns,NBA,"$1,620,564"
Torrey Craig,8 years,Phoenix Suns,1990-12-19,craigto01,2021-22,Phoenix Suns,NBA,"$4,878,049"
Torrey Craig,8 years,Phoenix Suns,1990-12-19,craigto01,2022-23,Phoenix Suns,NBA,"$5,121,951"
Torrey Craig,8 years,Chicago Bulls,1990-12-19,craigto01,2023-24,Chicago Bulls,NBA,"$2,528,233"
Torrey Craig,8 years,Chicago Bulls,1990-12-19,craigto01,2024-25,Chicago Bulls,NBA,"$2,845,342"
Torrey Craig,8 years,Boston Celtics,1990-12-19,craigto01,2024-25,Boston Celtics,NBA,"$779,820"
Torrey Craig,8 years,(may be incomplete),1990-12-19,craigto01,Career,(may be incomplete),,"$21,773,959"
JD Davison,3 years,Boston Celtics,2002-10-03,davisjd01,2022-23,Boston Celtics,NBA,(TW)
JD Davison,3 years,Boston Celtics,2002-10-03,davisjd01,2023-24,Boston Celtics,NBA,(TW)
JD Davison,3 years,Boston Celtics,2002-10-03,davisjd01,2024-25,Boston Celtics,NBA,"$11,997"
JD Davison,3 years,Boston Celtics,2002-10-03,davisjd01,2024-25,Boston Celtics,NBA,(TW)
JD Davison,3 years,(may be incomplete),2002-10-03,davisjd01,Career,(may be incomplete),,"$11,997"
Sam Hauser,4 years,Boston Celtics,1997-12-08,hausesa01,2021-22,Boston Celtics,NBA,"$313,737 (TW)"
Sam Hauser,4 years,Boston Celtics,1997-12-08,hausesa01,2022-23,Boston Celtics,NBA,"$1,637,966"
Sam Hauser,4 years,Boston Celtics,1997-12-08,hausesa01,2023-24,Boston Celtics,NBA,"$1,927,896"
Sam Hauser,4 years,Boston Celtics,1997-12-08,hausesa01,2024-25,Boston Celtics,NBA,"$2,092,344"
Sam Hauser,4 years,(may be incomplete),1997-12-08,hausesa01,Career,(may be incomplete),,"$5,971,943"
