title,team_name,year,contract_info,cap_hit,url
Trae Young,atlanta-hawks,2022-2026,Designated Rookie Extension,"$45,999,660",https://www.spotrac.com/nba/player/_/id/26971/trae-young
Kobe Bufkin,atlanta-hawks,2023-2026,Rookie,"$4,503,720",https://www.spotrac.com/nba/player/_/id/82271/kobe-bufkin
Jalen Johnson,atlanta-hawks,2025-2029,Rookie Extension,"$30,000,000",https://www.spotrac.com/nba/player/_/id/74127/jalen-johnson
Onyeka Okongwu,atlanta-hawks,2024-2027,Rookie Extension,"$15,000,000",https://www.spotrac.com/nba/player/_/id/70648/onyeka-okongwu
Zaccharie Risacher,atlanta-hawks,2024-2027,Rookie,"$13,197,720",https://www.spotrac.com/nba/player/_/id/91733/zaccharie-risacher
Dyson Daniels,atlanta-hawks,2022-2025,Rookie,"$7,707,709",https://www.spotrac.com/nba/player/_/id/78114/dyson-daniels
Terance Mann,atlanta-hawks,2025-2027,Veteran Extension,"$15,500,000",https://www.spotrac.com/nba/player/_/id/31607/terance-mann
Georges Niang,atlanta-hawks,2023-2025,Free Agent,"$8,200,000",https://www.spotrac.com/nba/player/_/id/20256/georges-niang
Vit Krejci,atlanta-hawks,2024-2027,Free Agent,"$2,349,578",https://www.spotrac.com/nba/player/_/id/70679/vit-krejci
Mouhamed Gueye,atlanta-hawks,2023-2026,Rookie,"$2,221,677",https://www.spotrac.com/nba/player/_/id/84468/mouhamed-gueye
Dominick Barlow,atlanta-hawks,2024-2025,rest-of-season,"$2,270,735",https://www.spotrac.com/nba/player/_/id/78565/dominick-barlow
Daeqwon Plowden,atlanta-hawks,2024-2025,two-way,$0,https://www.spotrac.com/nba/player/_/id/79950/daeqwon-plowden
Jayson Tatum,boston-celtics,2025-2029,Designated Veteran Extension,"$54,126,450",https://www.spotrac.com/nba/player/_/id/23598/jayson-tatum
Jaylen Brown,boston-celtics,2024-2028,Designated Veteran Extension,"$53,142,264",https://www.spotrac.com/nba/player/_/id/20208/jaylen-brown
Jrue Holiday,boston-celtics,2024-2027,Veteran Extension,"$32,400,000",https://www.spotrac.com/nba/player/_/id/6316/jrue-holiday
Sam Hauser,boston-celtics,2025-2028,Veteran Extension,"$10,044,644",https://www.spotrac.com/nba/player/_/id/74311/sam-hauser
Kristaps Porzingis,boston-celtics,2024-2025,Veteran Extension,"$30,731,707",https://www.spotrac.com/nba/player/_/id/17832/kristaps-porzingis
Derrick White,boston-celtics,2025-2028,Veteran Extension,"$28,100,000",https://www.spotrac.com/nba/player/_/id/23624/derrick-white
Xavier Tillman,boston-celtics,2024-2025,Free Agent,"$2,546,675",https://www.spotrac.com/nba/player/_/id/70677/xavier-tillman
Payton Pritchard,boston-celtics,2024-2027,Rookie Extension,"$7,232,143",https://www.spotrac.com/nba/player/_/id/70668/payton-pritchard
